sclht,dense,abund,prob
0.5,1050000000000.0,5.0,1.1967051440044403e-27
0.5,1050000000000.0,7.0,1.5481318354458907e-27
0.5,1050000000000.0,9.0,1.7721140980137212e-27
0.5,1050000000000.0,11.0,1.8744497503810318e-27
0.5,1050000000000.0,13.0,1.876658887247145e-27
0.5,1050000000000.0,15.0,1.8049833148083823e-27
0.5,1050000000000.0,17.0,1.6843501823258108e-27
0.5,1700000000000.0,5.0,1.5981443828693422e-27
0.5,1700000000000.0,7.0,1.8335877948420888e-27
0.5,1700000000000.0,9.0,1.890835876429345e-27
0.5,1700000000000.0,11.0,1.8247390100226662e-27
0.5,1700000000000.0,13.0,1.6843527987771342e-27
0.5,1700000000000.0,15.0,1.5069530668120935e-27
0.5,1700000000000.0,17.0,1.3181339717794419e-27
0.5,2750000000000.0,5.0,1.8629912899227488e-27
0.5,2750000000000.0,7.0,1.8733687138103125e-27
0.5,2750000000000.0,9.0,1.7281989851263657e-27
0.5,2750000000000.0,11.0,1.515539437612225e-27
0.5,2750000000000.0,13.0,1.2872815696834749e-27
0.5,2750000000000.0,15.0,1.070798113008276e-27
0.5,2750000000000.0,17.0,8.784624383038965e-28
0.5,4450000000000.0,5.0,1.8457970116667988e-27
0.5,4450000000000.0,7.0,1.6107305160636156e-27
0.5,4450000000000.0,9.0,1.322460904226701e-27
0.5,4450000000000.0,11.0,1.0516018909892706e-27
0.5,4450000000000.0,13.0,8.218120165749673e-28
0.5,4450000000000.0,15.0,6.3639445280539635e-28
0.5,4450000000000.0,17.0,4.9078318178235315e-28
0.5,7200000000000.0,5.0,1.515364536482151e-27
0.5,7200000000000.0,7.0,1.1396809767214362e-27
0.5,7200000000000.0,9.0,8.309319238029283e-28
0.5,7200000000000.0,11.0,5.995287049390086e-28
0.5,7200000000000.0,13.0,4.3215958771614795e-28
0.5,7200000000000.0,15.0,3.127298283480601e-28
0.5,7200000000000.0,17.0,2.277778676811708e-28
0.5,11650000000000.0,5.0,1.0085934268408387e-27
